NR_solar_pv,NER_solar_pv,ER_solar_pv,WR_solar_pv,SR_solar_pv,NR_onshore_wind,NER_onshore_wind,ER_onshore_wind,WR_onshore_wind,SR_onshore_wind
0,0.031869727,0.025743095,9.70967E-05,0,1,0.801423192,0.616125405,0.630956411,0.677880645
0.028168545,0.10870986,0.110508646,0.036548051,0.02963198,1,0.736126423,0.687053382,0.731341124,0.80630821
0.160302325,0.206185735,0.245873715,0.143809314,0.135438419,1,0.630956411,0.553053379,0.992636561,0.801423192
0.362082816,0.305360592,0.384765591,0.289325059,0.287872523,1,0.731341124,0.677880645,1,0.736126423
0.530113946,0.37405333,0.478454849,0.404995217,0.413572375,1,0.992636561,0.80630821,1,0.630956411
0.648287274,0.412433023,0.533131936,0.485059818,0.496553231,0.999652565,1,0.801423192,1,0.731341124
0.725233531,0.434805188,0.560503147,0.540685957,0.54165551,0.945950031,1,0.736126423,1,0.992636561
0.756899066,0.429373165,0.550105804,0.551912019,0.541526563,0.987837434,1,0.630956411,1,1
0.74096579,0.392086579,0.504116346,0.52513961,0.503830855,1,1,0.731341124,0.999652565,1
0.67887097,0.319812186,0.424875087,0.46760344,0.432579925,0.958051622,1,0.992636561,0.945950031,1
0.570235264,0.221984813,0.322115372,0.384929871,0.332956098,1,0.999652565,1,0.987837434,1
0.416920384,0.12148518,0.198185993,0.28015749,0.21481898,0.996488094,0.945950031,1,1,1
0.221637744,0.037536667,0.076320581,0.154844094,0.099509431,0.997731447,0.987837434,1,0.958051622,0.999652565
0.057293657,0.001276633,0.011554049,0.046888747,0.023984818,0.997055888,1,1,1,0.945950031
3.41114E-05,0,0,0.002993463,5.33106E-06,1,0.958051622,1,0.996488094,0.987837434
0,0,0,0,0,0.999057055,1,0.999652565,0.997731447,1
0,0,0,0,0,0.964799762,0.996488094,0.945950031,0.997055888,0.958051622
0,0,0,0,0,0.929325104,0.997731447,0.987837434,1,1
0,0,0,0,0,0.906229854,0.997055888,1,0.999057055,0.996488094
0,0,0,0,0,0.809327066,1,0.958051622,0.964799762,0.997731447
0,0,0,0,0,0.651830137,0.999057055,1,0.929325104,0.997055888
0,0,0,0,0,0.48080951,0.964799762,0.996488094,0.906229854,1
0,0,0,0,0,0.378751755,0.929325104,0.997731447,0.809327066,0.999057055
0,0,0,0,0,0.383687705,0.906229854,0.997055888,0.651830137,0.964799762
0,0.018367976,0.008699189,6.97174E-07,0,0.43698281,0.809327066,1,0.48080951,0.929325104
0.028168545,0.073878282,0.057796778,0.013549298,0.019176917,0.027345492,0.651830137,0.999057055,0.378751755,0.906229854
0.160302325,0.162886631,0.158517318,0.070179459,0.097453136,0.000123209,0.48080951,0.964799762,0.383687705,0.809327066
0.362082816,0.264600588,0.276008548,0.1649287,0.226656626,5.38E-05,0.378751755,0.929325104,0.43698281,0.651830137
0.530113946,0.345009389,0.359633278,0.24537725,0.344153534,6.64E-05,0.383687705,0.906229854,0.027345492,0.48080951
0.648287274,0.395807962,0.406551005,0.303188768,0.423652467,0.002060085,0.43698281,0.809327066,0.000123209,0.378751755
0.725233531,0.421341656,0.431033394,0.349695235,0.467690279,5.04E-05,0.027345492,0.651830137,5.38E-05,0.383687705
0.756899066,0.413537762,0.426120426,0.369299561,0.470649699,0.097491965,0.000123209,0.48080951,6.64E-05,0.43698281
0.74096579,0.372044019,0.392856392,0.356433124,0.436196213,0.291266352,5.38E-05,0.378751755,0.002060085,0.027345492
0.67887097,0.301515608,0.327540149,0.315890947,0.37098972,0.210415676,6.64E-05,0.383687705,5.04E-05,0.000123209
0.570235264,0.211032957,0.243267778,0.25738533,0.283949661,0.223368809,0.002060085,0.43698281,0.097491965,5.38E-05
